input,level,output
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
8738.4307,35969.26,0
12799,46208.46,0
12799,56447.66,0
12799,66686.86,0
12799,76926.06,0
12799,87165.26,0
5073.4252,91224,0
0,91224,0
0,84088.121,5708.7029
0,69819.679,11414.754
0,59049.852,8615.8618
0,52098.296,5561.2448
0,46552.338,4436.7665
0,38108.324,6755.2113
0,34256.514,3081.4479
670.52788,34792.936,0
4884.4031,38700.458,0
8249.3124,45299.908,0
9967.0674,53273.562,0
9114.7458,60565.359,0
3741.6876,63558.709,0
0,54441.863,7293.477
0,38443.113,12799
0,22444.363,12799
0,19775.752,2134.8881
9616.0285,27468.575,0
12799,37707.775,0
12799,47946.975,0
12799,58186.175,0
12799,68425.375,0
4225.7755,71805.996,0
0,62813.669,7193.8612
0,46814.919,12799
0,30816.169,12799
0,14817.419,12799
0,941.37592,11100.835
0,0,753.10073
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8520.9784,6816.7827,0
8625.0668,13716.836,0
5555.0556,18160.881,0
0,18160.881,0
0,18160.881,0
0,13624.283,3629.2784
0,2571.8308,8841.9615
0,0,2057.4647
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2900.2583,2320.2067,0
5732.8308,6906.4713,0
5310.7866,11155.101,0
4555.2614,14799.31,0
606.27953,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,15284.333,0
0,13254.715,1623.695
0,0,10603.772
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5522.3777,4417.9022,0
12799,14657.102,0
12799,24896.302,0
12799,35135.502,0
12799,45374.702,0
0,45374.702,0
0,37058.97,6652.5858
0,21233.335,12660.508
0,14585.705,5318.1043
0,13454.015,905.35186
5124.145,17553.331,0
6366.1294,22646.234,0
3003.4749,25049.014,0
1172.3539,25986.897,0
9744.821,33782.754,0
6374.7779,38882.576,0
0,29643.64,7391.1495
0,13644.89,12799
0,0,10915.912
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3235.4471,2588.3577,0
12799,12827.558,0
12799,23066.758,0
12799,33305.958,0
12799,43545.158,0
12799,53784.358,0
12799,64023.558,0
12799,74262.758,0
12799,84501.958,0
8402.5529,91224,0
0,91224,0
0,87514.071,2967.9431
0,71515.321,12799
0,55516.571,12799
0,42287.191,10583.504
0,29372.163,10332.022
0,13373.413,12799
0,0,10698.731
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2824.2088,2259.367,0
10524.318,10678.822,0
12758.205,20885.385,0
4968.1335,24859.892,0
0,24859.892,0
0,24859.892,0
0,8861.1423,12799
0,7567.4868,1034.9244
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,7567.4868,0
0,0,6053.9895
0,0,0
0,0,0
0,0,0
12799,10239.2,0
12799,20478.4,0
12799,30717.6,0
12799,40956.8,0
12799,51196,0
0,51196,0
0,51196,0
0,45411.825,4627.3399
0,45411.825,0
0,45411.825,0
0,45411.825,0
0,45411.825,0
6206.0625,50376.675,0
7765.6059,56589.16,0
8821.2178,63646.134,0
6812.1654,69095.866,0
4618.043,72790.301,0
1532.1854,74016.049,0
0,74016.049,0
0,74016.049,0
0,74016.049,0
0,74016.049,0
0,74016.049,0
0,74016.049,0
4537.2736,77645.868,0
10560.778,86094.49,0
6411.8869,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,85928.06,4236.7524
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,85928.06,0
0,72351.904,10860.924
0,62237.116,8091.8302
0,60670.586,1253.2242
0,60670.586,0
0,60670.586,0
0,60670.586,0
582.83262,61136.852,0
0,61136.852,0
0,61136.852,0
0,61136.852,0
0,61136.852,0
0,45138.102,12799
0,29139.352,12799
0,13140.602,12799
0,2068.2093,8857.9144
0,0,1654.5675
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8384.027,6707.2216,0
8419.9073,13443.147,0
4692.3106,17196.996,0
0,17196.996,0
0,17196.996,0
0,17196.996,0
0,13124.18,3258.2524
0,3130.815,7994.6923
