input,level,output
"56,025825","224,87398",0
"48,176332","263,41504",0
0,"263,41504",0
0,"263,41504",0
0,"171,6582","73,405471"
0,"19,911363","121,39747"
0,0,"15,92909"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"37,590127","30,072102",0
"92,451435","104,03325",0
"47,178601","141,77613",0
0,"141,77613",0
0,"141,77613",0
0,"52,836042","71,152071"
0,0,"42,268834"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"45,766027","36,612822",0
"28,632254","59,518625",0
0,"59,518625",0
0,"54,428762","4,0718906"
0,0,"43,54301"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"114,58527","91,668216",0
"127,99","194,06022",0
"127,99","296,45222",0
"127,99","398,84422",0
"127,99","501,23622",0
"127,99","603,62822",0
"127,99","706,02022",0
"101,51031","787,22847",0
0,"787,22847",0
0,"787,22847",0
0,"787,22847",0
0,"787,22847",0
"68,417084","841,96214",0
"87,847331","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"806,85399","84,308809"
0,"646,86649","127,99"
0,"486,87899","127,99"
0,"326,89149","127,99"
0,"166,90399","127,99"
0,"31,352245","108,44139"
0,0,"25,081796"
0,0,0
0,0,0
0,0,0
"112,60772","90,086175",0
"127,99","192,47817",0
"127,99","294,87017",0
"114,08203","386,1358",0
0,"386,1358",0
0,"383,52839","2,0859303"
0,"353,27637","24,201611"
0,"353,27637",0
"10,366464","361,56954",0
"71,915474","419,10192",0
"87,451218","489,0629",0
"102,32958","570,92656",0
"64,070309","622,18281",0
"5,0695393","626,23844",0
0,"582,07645","35,32959"
0,"499,47065","66,084642"
0,"386,60192","90,294983"
0,"300,42296","68,94317"
0,"249,59343","40,663626"
0,"248,10531","1,1904921"
"16,378276","261,20793",0
"76,023867","322,02702",0
"122,03068","419,65157",0
"127,99","522,04357",0
"127,99","624,43557",0
"127,99","726,82757",0
"127,99","829,21957",0
"103,77553","912,24",0
0,"892,51606","15,779155"
0,"732,52856","127,99"
0,"572,54106","127,99"
0,"560,60412","9,5495514"
"115,85654","653,28935",0
"127,99","755,68135",0
"127,99","858,07335",0
"67,708317","912,24",0
0,"912,24",0
0,"752,2525","127,99"
0,"592,265","127,99"
0,"432,2775","127,99"
